Time,CPU usage (%),Mem usage (MB), VM usage (MB)
2017/3/30 19:35:15,12,163.71,164.21
2017/3/30 19:35:33,18,163.8,164.25
2017/3/30 19:35:49,16,163.76,164.46
2017/3/30 19:36:05,14,164.52,164.82
2017/3/30 19:36:22,14,164.09,164.59
2017/3/30 19:36:38,16,164.57,173.77
2017/3/30 19:36:55,12,164.79,173.98
2017/3/30 19:37:14,11,164.81,174.2
2017/3/30 19:37:33,14,165.28,174.33
2017/3/30 19:37:49,15,165.17,174.52
2017/3/30 19:38:06,13,165.76,174.74
2017/3/30 19:38:22,15,166.03,174.99
2017/3/30 19:38:39,16,165.7,174.93
2017/3/30 19:38:55,14,162.04,174.95
2017/3/30 19:39:11,17,166.21,175.04
2017/3/30 19:39:29,18,161.86,174.95
2017/3/30 19:39:47,16,162.17,174.94
2017/3/30 19:40:03,18,168.4,177.46
2017/3/30 19:40:20,15,166.66,175.44
2017/3/30 19:40:39,16,166.5,175.59
2017/3/30 19:40:57,17,167.14,175.89
2017/3/30 19:41:11,8,166.99,176.04
2017/3/30 19:41:29,15,167.42,176.31
2017/3/30 19:41:46,16,167.53,176.33
2017/3/30 19:42:02,14,167.49,176.62
2017/3/30 19:42:19,16,164.07,176.83
2017/3/30 19:42:37,14,167.82,176.87
2017/3/30 19:42:53,19,168.23,176.96
2017/3/30 19:43:13,16,166.15,175.76
2017/3/30 19:43:30,14,167.29,177.03
2017/3/30 19:43:47,18,168.22,177.13
2017/3/30 19:44:03,14,168.68,177.49
2017/3/30 19:44:20,16,168.66,177.74
2017/3/30 19:44:39,10,169.14,177.9
2017/3/30 19:44:57,17,168.19,177.36
2017/3/30 19:45:15,19,169.26,178.03
2017/3/30 19:45:31,16,169.53,178.29
2017/3/30 19:45:49,17,169.37,178.39
2017/3/30 19:46:07,14,169.99,178.6
2017/3/30 19:46:26,10,169.74,178.87
2017/3/30 19:46:45,15,170.15,178.95
2017/3/30 19:47:03,15,170.11,178.85
2017/3/30 19:47:21,16,165.82,178.84
2017/3/30 19:47:39,11,166.22,178.95
2017/3/30 19:47:58,14,166.16,178.86
2017/3/30 19:48:16,16,169.86,178.84
2017/3/30 19:48:33,11,169.4,178.11
2017/3/30 19:48:51,14,165.65,178.83
2017/3/30 19:49:09,14,170.34,179.14
2017/3/30 19:49:25,16,166.4,179.21
2017/3/30 19:49:42,16,165.96,179.05
2017/3/30 19:50:00,13,166.26,179.01
2017/3/30 19:50:17,13,170.33,179.07
2017/3/30 19:50:33,14,167.57,181.89
2017/3/30 19:50:49,16,170.76,179.68
